Year,Business Index,Food,Cloth,Residential,Transportation,Medical,Entertainment,Others
71,56.32,42.11,90.51,63.47,85,47.34,42.17,55.85
72,57.09,42.68,91.08,64.71,84.41,47.32,43.52,56.33
73,57.07,41.72,92.79,65.21,85.59,48.91,44.68,56.79
74,56.98,40.86,92.28,65.4,86.25,50.56,46.58,56.61
75,57.38,41.8,89.15,65.25,83.12,50.76,48.24,56.44
76,57.67,42.3,87.18,65.51,81.77,51.32,49.17,56.52
77,58.41,42.9,89.43,65.91,80.81,51.04,52.01,56.78
78,60.99,45.58,89.91,68.77,81.87,53.14,54.31,58.13
79,63.51,47.19,90.07,72.65,83.88,54.82,58.49,59.58
80,65.81,47.68,90.22,76.86,88.98,56.83,63.19,61.07
81,68.75,51.66,91.69,79.54,87.96,59.95,67.01,62.12
82,70.77,53.25,88.48,82.48,88.45,60.8,71.62,64.39
83,73.67,56.68,87.76,85.91,88.66,61.94,75.82,66.19
84,76.37,59.12,90.99,88.92,90.77,62.92,79.55,68.27
85,78.72,61.38,93.21,90.78,91.83,63.99,85.37,69.21
86,79.43,60.95,94.19,91.78,92.84,65.5,88.47,70.06
87,80.77,63.63,88.99,92.8,91.93,66.09,91.33,71.15
88,80.91,63.17,87.96,92.87,91.24,68.59,93.24,71.97
89,81.92,63.42,88.43,93.24,94.18,71.41,96.06,72.64
90,81.92,62.85,86.91,92.76,95.22,72.3,98.1,72.82
91,81.76,62.74,87.39,91.65,93.11,73.24,98.2,76.04
92,81.53,62.69,88.42,90.76,93.71,75.59,96.93,75.66
93,82.84,65.34,91.2,90.57,95.7,77.06,97.04,76.46
94,84.75,70.07,91.08,90.94,96.95,80.54,96.82,76.27
95,85.26,69.63,87.82,91.74,98.65,83.51,96.98,79.14
96,86.79,71.61,90.24,92.64,100.41,87.17,97.57,80.45
97,89.86,77.73,91.14,94.06,102.79,89.24,98.85,81.65
98,89.07,77.39,90.49,93.75,98.68,89.76,97.09,83.59
99,89.93,77.87,92.02,94.18,101.51,90.32,97.04,85.79
100,91.21,79.63,94.66,94.99,102.97,92.14,97.55,86.88
101,92.97,82.94,97.04,96.09,103.42,92.82,98.21,88.75
102,93.71,83.99,96.86,96.96,103.88,93.78,98.53,89.2
103,94.83,87.14,98.1,97.82,102.64,94.39,98.46,90.38
104,94.54,89.86,97.55,96.71,96.65,94.67,98.44,90.63
105,95.86,94.56,97.75,96.48,95.57,95.49,98.53,91.89
106,96.45,94.21,97.51,97.31,97.31,97.12,98.82,93.64
107,97.76,95.15,97.79,98.2,99.51,98.15,99.04,98.08
108,98.3,96.96,97.08,98.81,98.07,98.98,99.78,98.65
109,98.07,97.61,98.26,99.09,94.27,99.77,98.81,99.61
110,100,100,100,100,100,100,100,100
111,102.95,105.66,102.38,102.26,103.46,101.22,101.18,101.37
,,,,,,,,
