,RX@ROC.a,RX@US.a,RX@JAP.a,RX@EURO.a,RX@UK.a,RX@SKOR.a,RX@SING.a,RX@HK.a,RX@PRC.a
,匯率 - 中華民國 (該國貨幣兌換 1 美元之匯率),匯率 - 美國 ( 1 美元所能兌換之特別提款權),匯率 - 日本 (該國貨幣兌換 1 美元之匯率),匯率 - 歐元 (歐元兌換 1 美元之匯率),匯率 - 英國 (該國貨幣兌換 1 美元之匯率),匯率 - 南韓 (該國貨幣兌換 1 美元之匯率),匯率 - 新加坡 (該國貨幣兌換 1 美元之匯率),匯率 - 香港 (該國貨幣兌換 1 美元之匯率),匯率 - 中國大陸 (該國貨幣兌換 1 美元之匯率)
,Exchange Rate - R_O_C_ (National Currency Per US$),Exchange Rate - U_S_A_ (SDRs PER US$),Exchange Rate - Japan (National Currency Per US$),Exchange Rate - Euro Area (Euro Per US$),Exchange Rate - U_K_ (National Currency Per US$),Exchange Rate - Korea (South) (National Currency Per US$),Exchange Rate - Singapore (National Currency Per US$),Exchange Rate - H_K_ (National Currency Per US$),Exchange Rate - P_R_C_ (National Currency Per US$)
DATE,該國貨幣兌換 1 美元之匯率, 1 美元所能兌換之特別提款權,該國貨幣兌換 1 美元之匯率,歐元兌換 1 美元之匯率,該國貨幣兌換 1 美元之匯率,該國貨幣兌換 1 美元之匯率,該國貨幣兌換 1 美元之匯率,該國貨幣兌換 1 美元之匯率,該國貨幣兌換 1 美元之匯率
2000,32.99,0.77,114.90,1.07,0.67,1259.70,1.73,7.80,8.28
2001,35.00,0.80,131.80,1.13,0.69,1326.10,1.85,7.80,8.28
2002,34.75,0.74,119.90,0.95,0.62,1200.40,1.74,7.80,8.28
2003,33.98,0.67,107.10,0.79,0.56,1197.80,1.70,7.76,8.28
2004,31.92,0.64,104.12,0.73,0.52,1043.80,1.63,7.77,8.28
2005,32.85,0.70,117.97,0.85,0.58,1013.00,1.66,7.75,8.07
2006,32.60,0.66,118.95,0.76,0.51,929.60,1.53,7.77,7.81
2007,32.44,0.63,114.00,0.68,0.50,938.20,1.44,7.80,7.30
2008,32.86,0.65,90.75,0.72,0.69,1257.50,1.44,7.75,6.83
2009,32.03,0.64,92.06,0.69,0.62,1167.60,1.40,7.76,6.83
2010,30.37,0.65,81.45,0.75,0.64,1138.90,1.29,7.77,6.62
2011,30.29,0.65,77.72,0.77,0.65,1153.30,1.30,7.77,6.30
2012,29.14,0.65,86.55,0.76,0.63,1071.10,1.22,7.75,6.29
2013,29.95,0.65,105.30,0.73,0.61,1055.30,1.27,7.75,6.10
2014,31.72,0.69,120.64,0.82,0.64,1099.20,1.32,7.76,6.12
2015,33.07,0.72,120.50,0.92,0.67,1172.00,1.41,7.75,6.49
2016,32.28,0.74,116.80,0.95,0.81,1208.50,1.45,7.75,6.95
2017,29.85,0.70,112.90,0.83,0.74,1071.40,1.34,7.81,6.51
2018,30.73,0.72,110.83,0.87,0.79,1118.10,1.36,7.83,6.85
2019,30.11,0.72,109.12,0.89,0.76,1157.80,1.35,7.79,6.99
2020,28.51,0.69,103.63,0.81,0.75,1088.00,1.32,7.75,6.53
2021,27.69,0.71,114.21,0.88,0.74,1186.60,1.35,7.80,6.37
2022,30.71,0.75,132.65,0.94,0.83,1267.30,1.34,7.81,6.99
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
